,date,adj. close,close,vol
398,2013-08-30,125.2646,147.8500,33066108
399,2013-08-23,126.9421,149.8300,31347129
400,2013-08-16,127.5098,150.5000,31880508
401,2013-08-09,130.2367,154.1100,20625311
402,2013-08-02,132.0029,156.2000,27082304
403,2013-07-26,131.1240,155.1600,19794994
404,2013-07-19,131.0902,155.1200,24493174
405,2013-07-12,130.1145,154.1700,28361304
406,2013-07-05,127.4560,151.0200,17897389
407,2013-06-28,125.3714,148.5500,41319178
408,2013-06-21,124.6794,147.7300,45925469
409,2013-06-14,126.8912,150.6600,29675868
410,2013-06-07,128.2893,152.3200,51474082
411,2013-05-31,127.2618,151.1000,32910594
412,2013-05-24,128.6684,152.7700,37997207
413,2013-05-17,128.9800,153.1400,28862472
414,2013-05-10,126.8562,151.0400,20662266
415,2013-05-03,125.4452,149.3600,29840134
416,2013-04-26,123.3623,146.8800,34512506
417,2013-04-19,121.9009,145.1400,46209806
418,2013-04-12,124.5345,148.4200,32987189
419,2013-04-05,121.9250,145.3100,36783486
420,2013-03-28,121.9334,145.3200,22954566
421,2013-03-22,121.5810,144.9000,31835193
422,2013-03-15,121.5139,144.8200,30056605
423,2013-03-08,120.3733,143.7600,25431403
424,2013-03-01,117.8446,140.7400,44562988
425,2013-02-22,117.0659,139.8100,21591473
426,2013-02-15,116.7645,139.4500,18587984
427,2013-02-08,116.6999,139.7300,25659402
428,2013-02-01,116.7083,139.7400,21772635
429,2013-01-25,115.7728,138.6200,21605146
430,2013-01-18,113.6598,136.0900,21609162
431,2013-01-11,112.3958,134.7200,24798730
432,2013-01-04,111.8452,134.0600,35126201
433,2012-12-28,107.6820,129.0700,22858186
434,2012-12-21,109.9513,131.7900,33523392
435,2012-12-14,109.3336,131.4600,23927552
436,2012-12-07,109.4168,131.5600,28397062
437,2012-11-30,108.2025,130.1000,28016513
438,2012-11-23,108.0279,129.8900,24506833
439,2012-11-16,104.4599,125.6000,35642633
440,2012-11-09,106.1167,127.9200,40762639
441,2012-11-02,108.3980,130.6700,12887631
442,2012-10-26,108.4975,130.7900,31143785
443,2012-10-19,110.4221,133.1100,28651374
444,2012-10-12,110.2835,133.1300,25511791
445,2012-10-05,112.6278,135.9600,22913533
446,2012-09-28,111.0456,134.0500,23985088
447,2012-09-21,112.2219,135.4700,21328085
448,2012-09-14,112.3118,135.8600,19244058
449,2012-09-07,109.8979,132.9400,17322290
450,2012-08-31,108.1950,130.8800,16802318
451,2012-08-24,108.6083,131.3800,19216100
452,2012-08-17,109.4680,132.4200,19334667
453,2012-08-10,108.7761,131.9300,18924689
454,2012-08-03,107.7867,130.7300,33471877
455,2012-07-27,107.6300,130.5400,31130379
456,2012-07-20,105.5688,128.0400,19697058
457,2012-07-13,105.0502,127.6200,26422352
458,2012-07-06,105.0090,127.5700,17531645
459,2012-06-29,105.7334,128.4500,29494433
460,2012-06-22,103.9060,126.2300,30650372
461,2012-06-15,104.8197,127.3400,31272652
462,2012-06-08,103.0695,125.4300,32344391
463,2012-06-01,99.4375,121.0100,33230016
464,2012-05-25,102.1081,124.2600,36599135
465,2012-05-18,101.3275,123.3100,38656230
466,2012-05-11,104.9671,128.1800,33103250
467,2012-05-04,106.5312,130.0900,23844288
468,2012-04-27,108.0953,132.0000,25013910
469,2012-04-20,106.4411,129.9800,33494650
470,2012-04-13,105.0269,128.4000,39865426
471,2012-04-05,106.6547,130.3900,29343331
472,2012-03-30,107.8080,131.8000,24765279
473,2012-03-23,106.8264,130.6000,26220731
474,2012-03-16,108.0125,132.0500,29775853
475,2012-03-09,105.4369,129.1500,36094257
476,2012-03-02,105.7634,129.5500,28925049
477,2012-02-24,105.8206,129.6200,29334781
478,2012-02-17,105.5022,129.2300,34290964
479,2012-02-10,104.1085,127.8500,26241159
480,2012-02-03,104.5319,128.3700,34920872
481,2012-01-27,102.9685,126.4500,31639039
482,2012-01-20,103.3838,126.9600,26912071
483,2012-01-13,100.9713,124.1600,28022893
484,2012-01-06,100.4590,123.5300,30964965
485,2011-12-30,99.0927,121.8500,17617056
486,2011-12-23,99.7271,122.6300,28999906
487,2011-12-16,96.1407,118.2200,37123757
488,2011-12-09,98.7389,121.7800,40960619
489,2011-12-02,97.3443,120.0600,34560621
490,2011-11-25,90.9228,112.1400,38684843
491,2011-11-18,95.4552,117.7300,40273514
492,2011-11-11,98.2982,121.5300,45389797
493,2011-11-04,96.7372,119.6000,55128197
494,2011-10-28,98.7107,122.0400,47361174
495,2011-10-21,95.3217,117.8500,56306661
496,2011-10-14,93.9528,116.3400,33616210
497,2011-10-07,89.6566,111.0200,60117145
498,2011-09-30,87.9687,108.9300,59837589
499,2011-09-23,86.7735,107.4500,64515725
500,2011-09-16,92.7576,114.8600,57477044
501,2011-09-09,88.5259,109.8200,37795965
502,2011-09-02,90.5089,112.2800,43088545
503,2011-08-26,90.8474,112.7000,56437465
504,2011-08-19,86.9862,107.9100,67153019
505,2011-08-12,90.5764,112.8000,121541845
506,2011-08-05,91.7407,114.2500,87623312
